TIMESTAMP,IP_ADDRESS,STATUS
1723005000,192.168.1.10,FAIL
1723005010,192.168.1.10,FAIL
1723005025,192.168.1.10,SUCCESS
1723005100,198.51.100.12,FAIL
1723005200,198.51.100.12,FAIL
1723005350,198.51.100.12,FAIL
1723005500,198.51.100.12,FAIL
1723005650,198.51.100.12,FAIL
1723005800,198.51.100.12,FAIL
1723006000,203.0.113.55,FAIL
1723006015,203.0.113.55,FAIL
1723006030,203.0.113.55,FAIL
1723006045,203.0.113.55,FAIL
1723006060,203.0.113.55,FAIL
1723006075,203.0.113.55,FAIL
1723006100,10.0.0.42,FAIL
1723006105,10.0.0.42,FAIL
1723006110,10.0.0.42,FAIL
1723006115,10.0.0.42,FAIL
1723006120,10.0.0.42,SUCCESS
1723006200,10.0.0.42,FAIL
1723006205,10.0.0.42,FAIL
1723006210,10.0.0.42,FAIL
1723006215,10.0.0.42,FAIL
1723006220,10.0.0.42,FAIL
1723006225,10.0.0.42,FAIL
1723006800,203.0.113.55,SUCCESS
